# RA, Dec, R, G, B, relative apparent brightness, Vmag, BV, parallax
2.09691071, 29.09043199, 0.5989361121149748, 0.6841866664500202, 0.9999999999999998, 37.32501577957206, 2.07, -0.038, 33.6
2.29452113, 59.1497796, 0.902814127170999, 0.8972416678700439, 1.0, 30.76096814740708, 2.28, 0.38, 59.89
2.35267495, -45.74742618, 1.0, 0.8073638027016472, 0.6019045810822132, 7.046930689671471, 3.88, 1.013, 23.28
3.30897012, 15.1835959, 0.55, 0.647, 1.0, 18.535316234148116, 2.83, -0.19, 9.79
4.8569773, -8.82392145, 0.9999999999999996, 0.7556446425521406, 0.4974526769718735, 9.462371613657929, 3.56, 1.214, 11.26
6.43780017, -77.25424559, 0.9999999180023682, 0.9188356729031146, 0.8795509474246536, 18.706821403658008, 2.82, 0.618, 133.78
6.55084089, -43.67982953, 0.7383615187917784, 0.7864607296353447, 0.9999999996568484, 6.729766562843177, 3.93, 0.175, 42.51
6.57104571, -42.30598151, 1.0, 0.7882206139970908, 0.5634585348826869, 27.542287033381662, 2.4, 1.083, 42.14
9.24285251, 53.89690937, 0.55, 0.647, 1.0, 8.394599865193975, 3.69, -0.196, 5.46
9.83198236, 30.86102393, 1.0, 0.7423486601510569, 0.4731414622790727, 12.359474334445107, 3.27, 1.268, 32.19
10.12683548, 56.53733109, 1.0, 0.7662702159737664, 0.5191473031300224, 31.915378551007617, 2.24, 1.17, 14.27
10.8973794, -17.9866046, 0.999999999999987, 0.8057167126318809, 0.5984043906085594, 38.37072454922788, 2.04, 1.019, 34.04
12.27621323, 57.81518734, 0.9999964047505815, 0.9285497241556991, 0.9061506753748255, 10.375284158180126, 3.46, 0.587, 167.99
14.17721554, 60.71674038, 0.5944519274979687, 0.6808061698002263, 0.9999999999999997, 34.673685045253166, 2.15, -0.046, 5.32
14.18838148, 38.49934462, 0.7068560459005304, 0.7639016205659138, 0.9999999999653715, 7.177942912713619, 3.86, 0.13, 23.93
16.5210284, -46.71841361, 0.9999999999861902, 0.8417871939608073, 0.6809648377508352, 11.803206356517299, 3.32, 0.885, 16.46
17.09617396, -55.24576016, 0.5528958079557048, 0.6489892584620777, 1.0, 6.668067692136222, 3.94, -0.12, 11.66
17.1474649, -10.18226422, 1.0, 0.7684261920238887, 0.5237096168014348, 10.375284158180126, 3.46, 1.161, 27.73
17.43301493, 35.6205577, 0.9999999999999998, 0.6724005992119544, 0.35397597040620654, 37.32501577957206, 2.07, 1.576, 16.36
21.00585424, -8.18325655, 1.0, 0.7930235937098474, 0.5730650655764118, 9.120108393559097, 3.6, 1.065, 28.48
21.45396795, 60.23528317, 0.7274945370218682, 0.778656215935444, 1.0, 21.67704104819694, 2.66, 0.16, 32.81
22.09136277, -43.31823391, 0.9999999999999998, 0.6797499069734776, 0.3654821780059311, 10.864256236170656, 3.41, 1.542, 13.94
22.81293588, -49.07270222, 0.9999999999997307, 0.8181094758319079, 0.626695713589607, 6.729766562843177, 3.93, 0.972, 22.15
22.87087261, 15.34582301, 0.9999999999998599, 0.8176126543571204, 0.625485733326813, 8.953647655495937, 3.62, 0.974, 11.09
24.42852736, -57.23675749, 0.55, 0.647, 1.0, 165.95869074375597, 0.45, -0.158, 22.68
24.49815046, 48.62821317, 1.0, 0.7406972289365669, 0.4700904019566733, 9.204495717531715, 3.59, 1.275, 18.76
26.01701214, -15.93748006, 1.0, 0.8868854837705803, 0.7915308642752593, 10.092528860766844, 3.49, 0.727, 274.17
27.86513997, -10.33503772, 0.9999999999999946, 0.7745703293486257, 0.5362835270252432, 8.01678063387679, 3.74, 1.136, 12.59
